RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.62,0.79,0:06.42,29,678742,-68066177,546
90,5.63,0.83,0:06.48,30,689368,-68067642,13466
80,5.60,1.03,0:06.64,452,692073,-68121984,15613
70,5.56,1.39,0:06.96,2021,713398,-68268258,29429
60,5.83,1.53,0:07.37,16753,763030,-68474777,75409
50,5.86,1.90,0:07.78,9751,881174,-68780455,139074
40,5.91,2.40,0:08.34,12601,1013521,-69142954,299495
30,6.01,2.68,0:08.73,18456,1152985,-69639041,457996
20,6.09,2.73,0:08.89,5133,1256998,-70200867,579165
10,6.28,2.82,0:09.21,2663,1370374,-70872013,728554
5,7.05,2.85,0:10.01,4184,1439155,-71584442,796778
