RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
20,0,946,1452.396,1.003,,,,,,,,,,,946,67.522,0.256,,,
20,1,843,1507.395,2.501,4,54.420,40.623,,,,,20,25.769,15.610,843,53.707,0.001,,,
20,2,1055,2506.266,9.963,1,17.898,0.000,,,,,7,0.511,0.000,1055,91.505,0.044,,,
20,3,1125,1511.884,0.889,,,,,,,,,,,1125,59.893,0.001,,,
20,4,1129,2039.194,0.745,,,,,,,,,,,1129,70.042,0.001,,,
20,5,954,1618.564,1.556,1,12.408,0.000,,,,,3,0.138,0.001,954,54.263,0.004,,,
20,6,16301,24352.67,63.722,,,,,,,,,,,16301,686.014,0.022,,,
20,7,282,411.438,0.566,,,,5261,11106562,4183601,,,,,282,13.808,0.000,,,
20,8,1295144,5131593,4810205,231985,3021674,1699711,99,886645.6,76344445,,760077,659269.9,17467489,1295144,48480.29,3583.574,,,
20,9,1289391,5071491,3156607,228890,2965688,3467399,106,956225.9,74588256,,756626,659887.5,2597201,1289391,49053.99,1997.549,,,
20,10,1289528,5079491,1653106,228459,2964575,1547384,104,934903.2,79722750,,759089,670966.7,1683328,1289528,49252.71,793.237,,,
20,11,1344321,5637412,3769494,266714,3448299,663130.2,102,657128.0,13841518,,801196,678170.0,3641837,1344321,50679.59,1591.981,,,
20,12,1044057,4509304,1615652,192107,2598322,417011.8,50,552998.2,98596793,,590665,379640.1,22741653,1044057,60731.11,1001.985,,,
20,13,1282913,5047067,1767437,227914,2951359,1158144,117,1002770,56609684,,753396,661953.7,1221100,1282913,48003.04,19005.99,,,
20,14,1293679,5112611,4956904,230314,3005446,977175.6,109,990606.0,51195013,,760365,663981.9,117763271,1293679,49211.74,74611.86,,,
20,15,1279505,5072064,2668995,229525,2961227,375059.9,111,1006801,55344776,,754082,677154.0,1778172,1279505,48612.36,1226.861,,,
20,16,6665,9277.418,14.833,16,286.703,3.506,,,,,16,0.625,0.000,6665,312.587,0.021,,,
20,17,9666,11525.93,131.225,,,,,,,,,,,9666,607.442,0.010,,,
20,18,12854,24316.94,63.519,,,,,,,,,,,12854,832.058,0.637,,,
20,19,15553,29051.33,154.711,,,,,,,,,,,15553,992.442,0.049,,,
