RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.27,1.07,0:03.35,15781,770785,299927,21028
90,2.25,1.31,0:03.56,7,786562,400910,283237
80,2.33,1.29,0:03.62,7,786558,445430,283878
70,2.32,1.36,0:03.69,12,786563,497677,284621
60,2.43,1.72,0:04.16,160,995110,564343,490470
50,2.55,1.71,0:04.26,292,1048434,565493,557441
40,2.46,1.79,0:04.26,17,1048712,565594,563027
30,2.60,1.64,0:04.25,17,1048711,565593,563030
20,2.57,1.69,0:04.27,18,1048708,565578,563018
10,2.55,1.73,0:04.28,13,1048713,565586,563011
5,2.70,1.58,0:04.29,18,1048708,565584,563019
