RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.72,1.83,0:07.58,0,1446082,0,0
90,5.67,2.71,0:08.41,2390,1449746,349707,16016
80,5.73,3.63,0:09.39,1795,1450345,681320,20940
70,5.78,6.09,0:12.08,25759,1645794,1465951,456660
60,6.01,11.80,0:18.49,131678,2124889,2971151,1575201
50,6.15,22.92,0:30.36,532532,2365779,5260374,3781555
40,6.35,81.80,1:29.56,3523105,3687532,15708074,13911995
30,6.62,121.30,2:12.37,4595999,4140335,24315887,22545415
20,6.78,146.73,2:38.71,4633909,5132942,29627610,28055079
10,7.09,3094.35,51:44.43,5831588,4883208,43210457,41202182
5,5.38,615.20,10:21.22,9152510,2194276,14678217,17911284
