RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.50,0.08,0:03.58,0,100590,-26820499,0
90,3.50,0.60,0:04.11,42341,109310,-26820499,46215
80,3.51,0.69,0:04.20,50582,115214,-26883519,55124
70,3.49,0.80,0:04.30,58745,125467,-26956306,65147
60,3.51,0.79,0:04.31,64168,108013,-27036806,69522
50,3.56,0.93,0:04.50,72967,161751,-27109664,85437
40,3.84,3.13,0:07.22,157667,1128220,-27214751,466389
30,3.47,4.38,0:08.26,240217,1141816,-27870876,774172
20,3.83,4.04,0:08.27,240571,1141557,-28579777,778369
10,3.97,4.31,0:08.74,256136,1254819,-29288816,858791
5,4.20,5.19,0:10.06,316387,1581018,-30032934,1230438
