RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.51,0.09,0:03.60,0,100590,0,0
90,3.56,0.32,0:03.88,3141,145299,51576,45245
80,3.54,0.39,0:03.94,2635,157178,66391,53708
70,3.55,0.44,0:04.00,1921,163743,70647,62622
60,3.54,0.44,0:04.00,951,167548,70754,69271
50,3.65,0.49,0:04.16,5043,207299,93042,78254
40,4.10,1.91,0:06.04,21684,1234289,619254,292208
30,4.23,1.87,0:06.15,288,1382252,709157,770668
20,4.13,2.00,0:06.18,31,1382450,709222,776262
10,4.11,2.87,0:07.02,39869,1433356,742196,818652
5,4.05,3.66,0:07.76,42401,1863612,821424,1189314
