RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,6.87,0.20,0:03.79,0,101094,0,0
90,6.98,0.64,0:04.07,40973,112357,0,41768
80,6.91,0.74,0:04.14,49256,118204,0,50264
70,7.14,0.80,0:04.30,57705,116347,0,58948
60,7.37,0.83,0:04.42,63803,125440,0,66433
50,7.69,0.98,0:04.65,79583,224648,0,89575
40,8.17,2.96,0:05.98,210198,786866,0,466202
30,8.20,3.25,0:06.17,222030,862282,0,577357
20,8.08,3.41,0:06.21,234827,868125,0,598329
10,8.48,2.99,0:06.16,236259,867769,0,604945
5,8.93,3.54,0:06.72,254616,868056,0,605070
