RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.88,0.12,0:04.00,0,104761,0,0
90,3.89,0.25,0:04.15,5842,139128,39819,25624
80,3.84,0.32,0:04.16,5008,174482,74195,56546
70,3.77,0.34,0:04.12,5445,174842,74475,72227
60,3.79,0.33,0:04.12,3490,176937,74605,77864
50,3.84,0.33,0:04.18,3911,188404,80930,79051
40,3.99,0.79,0:04.79,13890,478334,227847,170994
30,4.40,1.94,0:06.34,17223,1290407,668089,701192
20,4.49,2.05,0:06.54,32305,1308590,689863,742681
10,4.48,4.19,0:08.69,58981,2544840,1253814,1286468
5,4.49,4.34,0:08.85,36690,2628770,1282666,1615611
