RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,105054,0
90,145331,5880
80,179838,5044
70,180660,5496
60,180795,3544
50,192692,3967
40,492996,13946
30,1308011,17281
20,1341272,32360
10,2604202,59027
5,2665836,36744
