RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.23,0.71,0:02.95,415,618992,-49959110,3032
90,2.02,4.81,0:06.85,352716,696075,-50059897,562958
80,2.15,4.58,0:06.75,360101,688693,-50625499,562979
70,2.15,4.54,0:06.72,368806,679992,-51191112,562969
60,2.22,4.20,0:06.44,344325,704475,-51756725,562986
50,2.19,4.60,0:06.82,341337,707467,-52322335,563018
40,2.26,4.26,0:06.53,382296,666513,-52887951,563018
30,2.30,4.11,0:06.43,371208,677602,-53453568,563142
20,2.26,4.06,0:06.34,385995,662819,-54019186,563087
10,2.25,3.83,0:06.09,353976,694839,-54584806,563076
5,2.33,3.73,0:06.07,361641,687174,-55150424,563069
