RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,7.54,1.09,0:08.66,92,678035,4294,2864
90,7.66,1.33,0:09.05,1990,687408,193104,66268
80,7.59,1.59,0:09.22,1765,687654,376785,68989
70,7.54,2.49,0:10.09,4964,694336,693921,130938
60,7.73,3.19,0:10.98,18232,691588,1014080,191357
50,7.77,5.81,0:13.89,67574,774450,1703237,879524
40,7.94,6.58,0:14.90,79288,897113,2180291,1589066
30,8.04,8.60,0:17.68,136004,1027723,2843024,2546272
20,8.21,9.80,0:19.77,147828,1082710,3353470,3192217
10,8.52,10.74,0:21.46,179464,1190572,3622844,3948355
5,8.84,11.92,0:22.63,208228,1380453,3807533,3710969
