RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.86,0.13,0:04.00,0,104761,0,0
90,3.90,0.26,0:04.17,7627,134292,37915,23671
80,3.86,0.35,0:04.22,6782,166422,74170,54411
70,3.70,0.48,0:04.20,4150,176181,74435,69725
60,3.71,0.41,0:04.14,3349,177078,74597,77847
50,3.71,0.51,0:04.24,6198,196884,86677,81519
40,3.89,0.90,0:04.82,20800,383818,181833,172951
30,4.26,2.04,0:06.37,17602,1287136,665547,686374
20,4.39,2.14,0:06.60,34069,1307943,689946,743351
10,4.76,3.61,0:08.54,36502,2493486,1219218,1280063
5,4.84,4.01,0:09.11,36692,2628332,1282151,1613053
