RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.92,0.13,0:01.60,0,100476,0,0
90,4.16,0.48,0:01.82,40138,112887,60594,43632
80,4.12,0.65,0:01.87,47847,114992,70499,51907
70,4.14,0.72,0:01.91,56730,125621,78562,63251
60,4.18,0.73,0:01.92,62938,128301,82662,69100
50,4.28,0.85,0:01.99,68113,161649,102447,74129
40,6.09,3.79,0:03.64,183111,1011608,600492,488581
30,6.70,4.56,0:04.19,248998,1107026,694055,757166
20,6.38,4.89,0:04.25,269725,1110911,708869,793879
10,6.71,4.77,0:04.34,275862,1107822,710468,798447
5,6.80,5.23,0:04.54,285432,1148690,730336,811520
