RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.87,0.12,0:03.99,0,104760,-22416371,0
90,3.91,0.26,0:04.17,7585,134399,-22416371,23572
80,3.87,0.36,0:04.24,7201,167536,-22454500,54913
70,3.80,0.42,0:04.24,4203,176118,-22528667,70244
60,3.75,0.44,0:04.21,3341,177084,-22603107,77851
50,3.88,0.46,0:04.37,6107,196140,-22677713,81403
40,3.93,0.93,0:04.89,22925,413171,-22763937,181372
30,4.32,1.97,0:06.36,17656,1287122,-22965121,686912
20,4.27,2.26,0:06.60,34106,1307565,-23630564,742987
10,4.60,3.86,0:08.63,36430,2493095,-24320179,1278844
5,4.75,4.01,0:09.01,36652,2626730,-25539140,1611916
