RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
100,0,5,11.367,1.148,,,,,,,
100,1,,,,,,,,,,
100,2,76,121.112,0.848,,,,,,,
100,3,,,,,,,,,,
100,4,111,218.279,0.935,,,,,,,
90,0,77,108.937,0.508,,,,,,,
90,1,126,162.996,0.546,,,,,,,
90,2,281,320.927,0.711,,,,,,,
90,3,110,153.216,0.402,,,,,,,
90,4,134,173.141,0.758,,,,,,,
80,0,173,247.312,0.739,,,,,,,
80,1,87,100.361,0.876,,,,,,,
80,2,128,233.228,0.783,,,,,,,
80,3,107,190.610,0.721,,,,,,,
80,4,187,287.342,0.858,,,,,,,
70,0,112,159.780,0.445,,,,,,,
70,1,,,,,,,,,,
70,2,130,207.101,1.071,,,,,,,
70,3,234,267.758,0.550,,,,,,,
70,4,,,,,,,,,,
60,0,85,127.803,0.939,,,,,,,
60,1,185,268.341,0.649,,,,,,,
60,2,128,232.911,0.734,,,,,,,
60,3,,,,,,,,,,
60,4,,,,,,,,,,
50,0,92,160.515,0.450,,,,,,,
50,1,14,20.520,2.166,,,,,,,
50,2,133,217.315,1.674,,,,,,,
50,3,75,165.690,1.276,,,,,,,
50,4,,,,,,,,,,
40,0,5,7.901,0.655,,,,,,,
40,1,13,19.712,0.890,,,,,,,
40,2,,,,,,,,,,
40,3,,,,,,,,,,
40,4,77,105.517,0.738,,,,,,,
30,0,97,135.112,0.727,,,,,,,
30,1,,,,,,,,,,
30,2,13,18.627,0.836,,,,,,,
30,3,78,97.210,0.631,,,,,,,
30,4,41,42.967,1.212,,,,,,,
20,0,5,8.701,1.052,,,,,,,
20,1,,,,,,,,,,
20,2,214,337.297,1.041,,,,,,,
20,3,111,182.346,0.675,,,,,,,
20,4,108,196.821,1.475,,,,,,,
10,0,5,14.458,1.168,,,,,,,
10,1,13,23.737,3.722,,,,,,,
10,2,112,158.201,1.440,,,,,,,
10,3,,,,,,,,,,
10,4,213,309.814,0.814,,,,,,,
5,0,116,210.243,0.855,,,,,,,
5,1,,,,,,,,,,
5,2,147,213.792,0.666,,,,,,,
5,3,136,201.785,1.078,,,,,,,
5,4,43,25.478,0.461,,,,,,,
