RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.75,1.81,0:07.58,0,1446082,0,0
90,5.64,2.66,0:08.33,2501,1449640,349644,12224
80,5.65,3.54,0:09.23,2377,1449771,681268,17728
70,5.67,6.02,0:11.95,26194,1645204,1465902,453807
60,5.73,11.46,0:18.06,121764,2096351,2971038,1568556
50,5.76,23.05,0:30.32,552457,2411726,5260359,3780508
40,5.53,80.82,1:27.96,3523353,3683082,15645653,13794397
30,5.77,119.04,2:09.10,4577217,4137993,23477158,22050173
20,6.05,141.62,2:32.79,4550065,5249960,28416024,27232686
10,6.19,1822.23,30:32.97,6052117,4115399,26390701,25009291
5,5.98,1812.97,30:20.22,6659718,3656658,28212861,26180931
