RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.87,0.11,0:03.99,0,104758,0,0
90,3.90,0.32,0:04.22,22510,122370,41007,25710
80,3.85,0.52,0:04.38,51190,123057,74200,56610
70,3.72,0.68,0:04.40,64854,121992,78736,71031
60,3.62,0.84,0:04.46,72941,155316,99994,80020
50,3.77,0.86,0:04.63,75529,235096,144178,93530
40,4.06,1.70,0:05.79,128964,700252,409751,247809
30,4.21,2.98,0:07.25,221599,1087997,668910,724120
20,4.23,3.12,0:07.43,230977,1114862,691242,751687
10,4.60,5.88,0:10.71,445718,2191329,1273660,1248425
5,4.70,6.01,0:11.04,460267,2205159,1282896,1630003
