RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,6.90,1.21,0:08.11,386,679415,2448,573
90,6.88,1.23,0:08.12,30,689364,78058,12593
80,6.90,1.33,0:08.24,428,693653,150742,13745
70,6.98,1.43,0:08.41,901,696349,203512,24321
60,6.96,1.79,0:08.76,11822,710950,277908,65434
50,7.05,1.88,0:08.94,4052,731984,378024,116509
40,7.15,2.22,0:09.38,6399,738305,488696,270994
30,7.20,2.41,0:09.62,15394,730078,537201,444016
20,7.32,2.47,0:09.80,2120,733730,635980,536025
10,7.42,2.69,0:10.12,2392,728844,679701,686430
5,8.58,2.85,0:11.44,6645,756500,737233,759294
