RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,101492,12
90,153489,41262
80,163196,48271
70,174602,57751
60,184476,64484
50,257385,65154
40,1057726,160821
30,1120320,189033
20,1141984,184969
