RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.08,0.11,0:01.65,0,100476,0,0
90,4.15,0.37,0:01.78,118,151473,55945,43026
80,4.05,0.49,0:01.80,314,161301,68193,51462
70,4.15,0.43,0:01.82,116,166793,70692,62605
60,4.12,0.47,0:01.82,135,169667,70785,69029
50,4.22,0.56,0:01.89,1116,203746,89182,74410
40,6.04,3.04,0:03.37,5460,1144620,571439,347820
30,6.81,4.03,0:04.00,382,1368755,699695,749848
20,6.67,4.34,0:04.07,238,1383252,709627,774568
10,6.86,4.30,0:04.12,727,1386203,710998,779126
5,7.39,4.35,0:04.33,4380,1400957,718517,782818
