RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.25,0.85,0:03.11,1382,686635,173566,5410
90,2.04,2.63,0:04.68,173932,874860,565474,554944
80,2.09,2.40,0:04.50,141273,907523,565616,563048
70,2.21,2.33,0:04.54,142567,906232,565615,563038
60,2.28,2.56,0:04.84,194131,854670,565617,563050
50,2.35,2.63,0:04.98,209322,839486,565623,563060
40,2.37,2.32,0:04.69,153272,895537,565622,563056
30,2.30,2.61,0:04.92,191994,856817,565620,563063
20,2.53,2.08,0:04.62,143157,905657,565621,563063
10,2.46,2.40,0:04.86,181480,867337,565620,563064
5,2.44,2.12,0:04.56,129136,919680,565621,563067
