RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.60,0.95,0:03.56,27,524951,0,108
90,2.69,2.51,0:05.23,36892,749799,0,266536
80,2.74,2.48,0:05.25,36843,749849,0,266763
70,2.73,2.51,0:05.27,36937,749764,0,267175
60,2.78,3.05,0:05.85,84674,910526,0,477303
50,2.87,2.93,0:05.82,93784,955072,0,528975
40,2.75,3.20,0:05.97,101966,946891,0,531410
30,2.85,3.10,0:05.96,101768,947088,0,531445
20,2.84,2.98,0:05.83,95727,953129,0,531434
10,2.97,2.89,0:05.88,95010,953846,0,531411
5,2.79,3.01,0:05.81,93192,955663,0,531405
