RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,105146,0
90,143768,7981
80,181309,6830
70,194001,4359
60,197459,3483
50,220279,6409
40,422896,22873
30,1369958,17233
20,1405758,34149
10,2695548,36687
5,2916297,36821
