RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,470872,18
90,470914,50
80,470909,28
70,470914,44
60,493724,14659
50,560363,75964
40,667485,123760
30,783391,171123
20,825517,185649
10,959976,231665
5,1014223,225230
