RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.13,1.59,0:05.73,0,1445976,0,0
90,4.16,1.77,0:05.93,2008,1449860,191369,6298
80,4.18,1.91,0:06.10,2516,1485353,300962,8651
70,4.30,2.55,0:06.86,19622,1771653,636076,131778
60,4.60,4.44,0:09.04,203097,2188858,1083551,389236
50,4.64,6.58,0:11.30,306949,2903341,1619989,1221111
40,5.24,25.14,0:30.62,2310576,5196676,4700907,4516864
30,5.53,33.32,0:39.41,3158002,5722930,5083511,7250354
20,5.30,35.10,0:41.23,3074475,6977440,5289451,8929667
10,5.44,35.95,0:42.44,3031177,8168551,5323867,10415595
5,5.55,37.92,0:44.83,3226861,8527496,5334319,11027022
