RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.46,0.77,0:03.24,4,524486,39085,1621
90,2.40,4.70,0:07.24,106873,941920,3020476,2608336
80,2.44,5.06,0:07.72,121172,927620,3026351,2874843
70,2.49,5.11,0:07.85,120655,928139,3049247,2838817
60,2.48,5.05,0:07.81,119902,928901,3084148,2819296
50,2.58,4.88,0:07.76,119583,929223,3105511,2819817
40,2.57,5.05,0:07.94,119433,929377,3161970,2820764
30,2.56,5.06,0:07.96,119249,929559,3188055,2821252
20,2.56,4.94,0:07.87,118523,930288,3151473,2820663
