RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.46,0.12,0:03.58,0,100590,0,0
90,3.49,0.34,0:03.86,3397,144701,51712,45313
80,3.53,0.38,0:03.94,2724,159301,67531,54162
70,3.55,0.41,0:04.00,1802,163759,70643,62591
60,3.51,0.43,0:03.98,837,167525,70753,69101
50,3.54,0.51,0:04.09,3419,192669,84566,76492
40,3.99,1.79,0:05.88,16432,1197033,601191,328403
30,4.00,2.24,0:06.51,151,1381410,708078,765918
20,4.19,2.09,0:06.56,34,1382442,709216,776051
10,4.09,2.84,0:07.20,49672,1435878,743725,829084
5,4.05,3.61,0:07.94,51720,1847018,817457,1203205
