RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.45,0.10,0:03.55,0,100590,0,0
90,3.50,0.58,0:04.09,42719,109380,63794,46402
80,3.47,0.70,0:04.17,50358,114752,72673,54989
70,3.49,0.80,0:04.29,59844,130795,83837,65432
60,3.54,0.73,0:04.28,64302,108037,72918,69490
50,3.55,0.94,0:04.50,73723,167395,108496,86162
40,3.85,3.16,0:07.23,158146,1128152,656174,465800
30,3.23,4.68,0:08.31,243382,1139090,709160,774491
20,3.61,4.40,0:08.39,264528,1118131,709343,778588
10,3.89,4.46,0:08.79,262744,1247782,744157,859445
5,3.96,5.51,0:10.09,324681,1570424,816400,1230246
