RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.13,2.95,0:05.08,109019,939766,558110,123400
90,2.33,2.45,0:05.17,43,1048748,565525,556528
80,2.28,2.36,0:05.04,16,1048778,565617,562105
70,2.33,2.30,0:05.03,17,1048781,565623,562215
60,2.33,2.38,0:05.11,16,1048784,565617,562371
50,2.39,2.68,0:05.49,16,1048789,565626,562703
40,2.48,2.13,0:05.02,14,1048792,565623,562645
30,2.52,2.00,0:04.93,14,1048796,565620,562732
20,2.41,2.03,0:04.85,14,1048798,565621,562818
10,2.49,1.89,0:04.79,14,1048800,565612,562936
5,2.64,1.72,0:04.77,14,1048803,565622,562986
