RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.55,5.04,0:07.63,228842,557724,850618,746051
90,2.73,2.61,0:06.79,8,745299,1036434,842075
80,2.98,2.75,0:07.06,12,733269,1197564,846973
70,3.02,2.89,0:07.24,12,737051,1367454,849122
60,3.34,4.01,0:09.75,440,920992,1693875,1516419
50,3.41,4.43,0:10.69,385,965498,1963157,1683101
40,3.61,4.52,0:10.90,17,965193,1998136,1690296
30,3.55,4.77,0:10.93,23,954669,2306796,1693742
20,3.73,5.25,0:11.60,19,944037,2833947,1700502
10,3.85,5.56,0:12.20,20,937177,3179195,1705656
5,4.00,5.46,0:12.05,20,924914,3221256,1705728
