RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.59,0.85,0:06.45,30,678881,1629,560
90,5.66,0.89,0:06.55,30,689368,79850,13828
80,5.69,0.96,0:06.66,318,698111,153634,17539
70,5.66,1.09,0:06.75,777,713665,198532,27330
60,5.73,1.33,0:07.08,12613,769513,300014,67489
50,5.75,1.58,0:07.34,4990,885366,361527,133514
40,5.91,1.82,0:07.73,5382,1003000,477693,290717
30,5.97,2.17,0:08.14,12467,1162985,582785,443559
20,6.05,2.38,0:08.43,6012,1258476,670320,580301
10,6.28,2.53,0:08.82,4369,1368614,720362,733266
5,7.03,2.64,0:09.67,4123,1439001,767033,801814
