RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,26.74,0.45,0:27.20,286,274952,6612,390
90,27.28,2.84,0:30.14,165445,1065259,606712,335899
80,27.54,3.88,0:31.44,306329,1157592,749818,598329
70,27.85,4.10,0:31.97,334970,1352180,858854,735154
60,27.85,4.32,0:32.19,323986,1475389,916116,799040
50,27.94,4.57,0:32.52,313159,1660897,1005367,908743
40,28.09,4.79,0:32.90,317178,1788203,1072615,1006023
30,28.41,5.26,0:33.70,295585,2346224,1344904,1161033
20,28.69,6.11,0:34.82,301780,2895521,1628937,1530201
10,29.11,6.98,0:36.13,296444,3579611,1975093,1891427
5,29.59,7.86,0:37.48,305298,4222288,2307216,2221008
