RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.14,0.90,0:03.08,747,690193,176738,5562
90,2.33,1.59,0:04.14,32849,753716,385329,283004
80,2.40,1.53,0:04.14,32821,753745,442066,283814
70,2.34,1.60,0:04.15,32815,753759,493038,284547
60,2.31,2.85,0:05.30,73864,922386,564477,498143
50,2.35,3.13,0:05.62,80751,967975,565377,550795
40,2.34,4.97,0:07.31,522777,525950,565584,563025
30,2.35,4.79,0:07.15,508938,539789,565585,563030
20,2.45,2.36,0:04.97,87120,961607,565583,563007
10,2.64,2.20,0:05.00,89436,959292,565587,563018
5,2.54,2.07,0:04.76,75307,973420,565587,563024
