RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2
100,0,104899,76461.58,619.173,,,,,,,,,,,104899,3157.441,13.003
100,1,292,432.757,2.058,,,,,,,,,,,292,15.495,0.000
100,2,267,459.851,0.648,,,,,,,,,,,267,18.227,0.002
100,3,1980,2570.940,1.142,,,,,,,,,,,1980,69.340,0.000
100,4,1656,2101.051,1.930,,,,,,,,,,,1656,55.815,0.000
90,0,126243,222889.0,83800.65,14297,128859.5,4203.587,1,13742.85,0.000,,19020,1849.506,193.789,126243,3958.536,33.778
90,1,1003,1439.424,2.084,,,,,,,,,,,1003,40.680,0.000
90,2,435,735.547,1.752,,,,,,,,,,,435,26.705,0.002
90,3,1096,1313.217,2.732,,,,,,,,,,,1096,37.737,0.000
90,4,331,405.914,1.004,,,,,,,,,,,331,11.068,0.000
80,0,167606,597025.6,364894.2,51182,473301.1,30419.79,2,34814.45,22946335,,56172,3706.347,355.717,167606,5165.369,87.200
80,1,1793,2469.492,2.669,,,,,,,,,,,1793,63.953,0.000
80,2,618,1016.775,1.088,,,,,,,,,,,618,33.473,0.001
80,3,1717,2073.167,1.739,,,,,,,,,,,1717,58.388,0.000
80,4,1956,2711.106,2.145,,,,,,,,,,,1956,71.388,0.000
70,0,185995,714977.9,449383.8,67359,574275.3,88474.56,3,55495.81,13394438,,75276,6652.082,2770.209,185995,5842.147,141.870
70,1,1901,2583.263,4.617,,,,,,,,,,,1901,89.916,0.137
70,2,364,642.187,1.605,4,32.211,2.976,,,,,9,0.342,0.000,364,24.117,0.002
70,3,3723,4571.202,91.000,,,,,,,,,,,3723,167.198,1.664
70,4,2277,3151.257,9.578,,,,,,,,,,,2277,78.540,0.001
60,0,192991,752676.0,293417.1,74558,606717.9,152820.4,4,57469.76,2668719,,79560,4725.935,2098.839,192991,6157.964,104.689
60,1,2107,3040.648,78.478,,,,,,,,,,,2107,91.663,3.285
60,2,434,822.781,5.137,,,,,,,,,,,434,26.345,0.002
60,3,1248,1713.900,1.581,,,,,,,,,,,1248,62.530,0.182
60,4,1951,2785.417,2.339,,,,,,,,,,,1951,82.351,0.113
50,0,246054,921791.6,3355511,89179,730368.7,71960.02,4,56726.81,16095173,,108735,16310.38,3907.786,246054,7803.662,1634.123
50,1,1486,2030.548,2.139,,,,,,,,,,,1486,56.896,0.000
50,2,258,540.001,1.710,,,,,,,,,,,258,21.374,0.002
50,3,4134,4986.590,31.028,,,,,,,,,,,4134,194.102,0.523
50,4,2285,3285.575,12.198,1,10.825,0.000,,,,,2,0.039,0.000,2285,79.448,0.001
40,0,551839,1692794,2295302,123232,1138192,204732.3,3,51377.21,10233482,,307230,185670.8,211917.2,551839,17632.62,994.411
40,1,2933,4007.648,1872.454,,,,,,,,,,,2933,122.060,68.341
40,2,390,796.591,3.241,,,,,,,,,,,390,28.733,0.002
40,3,2637,3792.257,5.241,,,,,,,,,,,2637,127.783,0.228
40,4,935,1265.222,2.030,,,,,,,,,,,935,33.437,0.000
30,0,1294677,3836368,5192824,221497,2232223,832010.9,4,60883.66,1381293,,850595,784805.5,3654377,1294677,42293.69,8715.327
30,1,3607,5308.376,309.135,,,,,,,,,,,3607,159.869,16.585
30,2,1235,1949.756,3.055,,,,,,,,,,,1235,90.296,0.386
30,3,5378,8050.969,21.431,,,,,,,,,,,5378,255.964,0.837
30,4,3909,5486.233,15.157,6,47.587,2.175,,,,,10,0.373,0.000,3909,187.876,1.229
20,0,1343502,4058916,3106451,230567,2386482,1641405,3,56230.18,13725341,,885744,810290.1,6981232,1343502,43027.46,13291.55
20,1,3540,5343.157,7.365,,,,,,,,,,,3540,168.816,0.610
20,2,767,1287.597,1.832,2,21.861,2.782,,,,,9,0.404,0.000,767,46.602,0.001
20,3,5905,9037.526,142.029,,,,,,,,,,,5905,284.515,2.354
20,4,3111,4093.801,18.340,,,,,,,,,,,3111,123.442,0.645
10,0,2607363,8751224,1634300,460199,4952469,7212844,6,63595.82,6593805,,1864046,2131695,2478947,2607363,83971.50,66243.75
10,1,2180,2920.587,20.532,,,,,,,,,,,2180,96.292,1.180
10,2,811,1682.217,2.949,,,,,,,,,,,811,80.322,0.298
10,3,12234,15979.82,380.155,,,,,,,,,,,12234,697.303,8.326
10,4,6718,9142.499,50.312,,,,,,,,,,,6718,234.077,0.003
5,0,2666073,8728320,1493922,454175,4900290,169208480,24,61358.19,449321.7,,1922358,2107773,3478797,2666073,87281.04,17604.45
5,1,5592,7643.159,73.624,,,,,,,,,,,5592,247.904,3.284
5,2,905,1812.831,4.128,,,,,,,,,,,905,67.593,0.002
5,3,9255,13938.10,56.576,,,,,,,,,,,9255,436.241,0.490
5,4,4393,6012.468,24.592,1,11.053,0.000,,,,,3,0.085,0.000,4393,175.093,0.468
