RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.18,1.71,0:05.90,0,1445976,0,0
90,4.06,2.06,0:06.12,3225,1448639,188818,6164
80,4.20,2.07,0:06.27,3225,1477463,297156,8307
70,4.30,2.98,0:07.30,51685,1740045,637422,143419
60,4.37,4.43,0:08.81,93495,2319915,1073461,416953
50,4.81,6.68,0:11.50,221734,2976050,1611931,1213054
40,5.51,15.26,0:20.80,215095,7073412,4597610,4449403
30,5.58,20.36,0:25.96,349274,8549151,5080419,7188324
20,5.77,22.30,0:28.09,280651,9700466,5296507,8819357
10,5.71,23.15,0:28.87,30609,11171809,5323241,10378818
5,5.46,23.77,0:29.25,9529,11563372,5330053,10777530
