RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,105017,0
90,126996,14342
80,168387,51020
70,181453,67111
60,194804,75864
50,249197,88973
40,785714,127652
30,1490544,221789
20,1544990,229539
10,3036565,458527
5,3109180,455952
