RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.84,0.15,0:04.00,0,104760,0,0
90,3.84,0.26,0:04.10,5266,121461,26513,16786
80,3.86,0.30,0:04.16,4280,156958,63056,54875
70,3.69,0.41,0:04.11,4731,172448,74482,72627
60,3.71,0.37,0:04.08,3693,177404,74970,78078
50,3.75,0.50,0:04.26,16199,197746,92623,92206
40,3.98,1.29,0:05.28,65748,419671,231612,220892
30,4.32,2.09,0:06.42,10349,1277909,649334,670866
20,4.22,2.28,0:06.53,6636,1320812,680422,742261
10,4.61,4.25,0:08.90,6759,2655553,1281309,1540477
5,4.82,4.02,0:08.88,3894,2661850,1282834,1613649
