RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.86,0.13,0:03.99,0,104761,0,0
90,3.92,0.23,0:04.16,6429,138857,39876,25671
80,3.82,0.34,0:04.16,5476,174031,74205,56543
70,3.81,0.33,0:04.15,3678,176086,74446,70532
60,3.83,0.31,0:04.14,3320,177108,74608,78001
50,3.82,0.35,0:04.17,4133,189042,81385,79293
40,3.98,0.81,0:04.79,16459,482633,229574,156791
30,4.28,2.05,0:06.33,17278,1288102,666691,712520
20,4.35,2.17,0:06.53,32817,1310240,690779,743158
10,4.62,4.15,0:08.78,52065,2612873,1276483,1254091
5,4.57,4.26,0:08.84,36712,2628759,1282673,1615633
