RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.63,2.20,0:07.85,0,1446070,0,0
90,5.56,2.97,0:08.56,3320,1448815,344959,9845
80,5.64,3.80,0:09.46,3324,1448822,677281,17665
70,5.67,6.27,0:12.19,59101,1552805,1473306,453785
60,5.81,10.79,0:18.09,188431,2004503,3022895,1568866
50,5.68,15.14,0:26.23,247210,2533942,5438746,3639693
40,5.50,46.38,1:03.20,439641,6148107,15404237,13070111
30,5.87,51.58,1:28.67,262309,7705465,22834134,20505420
20,5.99,55.55,1:46.03,111989,8812043,27548271,24754356
10,5.27,417.20,7:22.89,18982,7135251,27161863,23402105
5,5.38,475.03,8:13.53,10945,6250030,24385639,21636184
