RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.74,0.95,0:03.70,597,619818,96978,2306
90,2.58,3.01,0:05.60,164953,883842,534631,531514
80,2.71,2.77,0:05.49,143047,905748,534634,531547
70,2.66,3.29,0:05.95,176532,872266,534632,531544
60,2.58,3.04,0:05.63,148507,900294,534634,531554
50,2.51,3.11,0:05.64,158034,890773,534637,531552
40,2.73,2.82,0:05.56,148524,900286,534638,531563
30,2.53,3.00,0:05.53,148637,900172,534636,531562
20,2.65,2.85,0:05.50,159497,889315,534638,531569
10,2.69,2.71,0:05.41,143626,905189,534634,531561
5,2.63,2.64,0:05.27,160070,888746,534641,531578
