RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.46,0.10,0:03.56,0,100590,0,0
90,3.50,0.54,0:04.04,38314,103825,51592,41457
80,3.49,0.67,0:04.17,50251,102475,68957,54353
70,3.48,0.95,0:04.43,74280,123979,90374,80196
60,3.53,1.04,0:04.58,85692,131676,98556,92689
50,3.46,1.20,0:04.67,91379,151895,110726,106518
40,3.64,3.34,0:07.55,164224,974719,594940,533247
30,3.48,4.60,0:08.77,246069,1136666,709286,773927
20,3.77,4.31,0:08.81,245171,1139050,710177,779499
10,3.88,4.49,0:09.11,262542,1179933,730836,817445
5,4.25,5.37,0:10.62,328041,1562369,814436,1237341
