RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.17,1.95,0:04.53,32597,753974,283569,260546
90,2.32,1.87,0:04.59,32744,753823,343103,260785
80,2.32,1.96,0:04.65,32773,753794,407222,283399
70,2.42,1.91,0:04.72,32778,753799,462004,284210
60,2.53,3.14,0:05.99,84806,914805,564592,504765
50,2.58,3.20,0:06.10,90507,958223,565399,551895
40,2.55,3.45,0:06.22,97873,950852,565517,559098
30,2.51,9.90,0:12.41,524304,524424,565589,563145
20,2.57,9.77,0:12.35,524307,524420,565584,563116
10,2.63,9.67,0:12.31,524305,524421,565589,563116
5,2.75,3.11,0:06.02,97972,950758,565590,563102
