RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,105016,0
90,114546,5439
80,112725,4182
70,113413,4953
60,114551,4434
50,142910,16253
40,349957,70447
30,656697,8051
20,697934,6861
