RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
30,0,2658006,4734955,3197688,400651,2759268,1625579,9,61218.88,737423.9,,1379064,268439.5,11716916,2658006,87642.73,31184.08,,,
30,1,6628,8509.408,110.545,,,,,,,,,,,6628,235.330,0.015,,,
30,2,3461,5974.644,18.307,3,24.083,2.605,,,,,19,0.672,0.000,3461,138.481,0.037,,,
30,3,2726,3679.141,10.865,,,,,,,,,,,2726,96.003,0.000,,,
30,4,6089,7860.782,24.072,,,,,,,,,,,6089,225.575,0.529,,,
