RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,678947,166
90,689877,111
80,699452,423
70,716800,875
60,778746,12415
50,902265,5850
40,1034738,6913
30,1170880,15954
20,1268005,2413
10,1373982,3926
5,1449039,3554
