RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.99,1.73,0:05.73,0,1445976,0,0
90,4.21,1.73,0:05.95,2063,1449804,191263,6302
80,4.19,1.90,0:06.10,2448,1472503,294100,8140
70,4.41,2.46,0:06.88,19436,1771265,636785,133778
60,4.53,4.18,0:08.73,135300,2280880,1082192,426181
50,4.60,10.30,0:14.95,929947,2297426,1621340,1120424
40,5.21,24.99,0:30.46,2257507,5215939,4703983,4530530
30,5.27,33.49,0:39.34,3093755,5858231,5085852,7281228
20,5.51,35.22,0:41.61,3094980,6957740,5293690,8938354
10,5.68,36.88,0:43.76,3157211,8044843,5323887,10416565
5,5.52,37.99,0:44.99,3228087,8528252,5334347,11029619
