RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.45,0.11,0:03.57,0,100590,0,0
90,3.51,0.45,0:03.97,40793,114299,63510,44405
80,3.46,0.56,0:04.02,47653,117394,72055,51632
70,3.49,0.61,0:04.10,57611,122926,78050,64529
60,3.50,0.64,0:04.14,63676,120395,78891,69640
50,3.54,0.73,0:04.28,68789,167677,105965,74991
40,3.88,2.66,0:06.58,184706,1130930,665487,647819
30,3.91,3.13,0:07.09,254704,1128034,709297,774148
20,3.90,3.21,0:07.16,258078,1128350,711416,778891
10,3.92,3.46,0:07.45,261126,1264445,744777,868396
5,4.16,4.24,0:08.49,333074,1562063,816626,1245003
