RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2
100,0,678265,571024.7,1309845,127,1020.652,29.411,,,,43714.39,740,21.178,0.000,678265,100251.7,303306.7
100,1,2192,2981.174,22.866,,,,,,,,,,,2192,78.522,0.002
100,2,595,1150.533,6.923,,,,,,,,,,,595,38.198,0.001
100,3,1793,2395.693,2.803,,,,,,,,,,,1793,76.572,0.125
100,4,1710,2201.056,2.945,,,,,,,,,,,1710,64.291,0.000
90,0,689396,594733.4,209980.7,32,286.209,26.650,,,,50691.75,12883,3036.914,42.956,689396,108211.3,83596.85
90,1,2451,3510.676,12.275,31,218.890,6.454,,,,,31,1.031,0.000,2451,85.693,0.000
90,2,547,954.200,2.477,,,,,,,,,,,547,33.838,0.002
90,3,1667,2304.236,3.886,,,,,,,,,,,1667,57.965,0.000
90,4,1141,1655.519,3.283,16,108.840,2.111,,,,,16,0.525,0.000,1141,55.436,0.194
80,0,689470,601323.9,467067.4,54,426.284,9.442,,,,50281.14,12767,2572.441,24.726,689470,109218.5,267553.2
80,1,1861,2498.989,2.668,,,,,,,,,,,1861,65.427,0.000
80,2,789,1278.598,2.290,,,,,,,,,,,789,42.575,0.001
80,3,1647,2209.614,2.405,,,,,,,,,,,1647,59.016,0.000
80,4,670,883.817,3.035,,,,,,,,,,,670,23.804,0.000
70,0,698835,635149.5,413185.1,101,2671.347,344.520,3,55193.16,9387597,59957.06,23399,6066.577,201.163,698835,119990.6,218031.3
70,1,2397,3294.889,10.544,,,,,,,,,,,2397,98.600,0.359
70,2,532,905.682,1.933,,,,,,,,,,,532,32.696,0.002
70,3,2113,3061.934,108.238,,,,,,,,,,,2113,96.255,3.467
70,4,931,1354.165,2.616,16,111.903,2.483,,,,,16,0.552,0.000,931,32.288,0.000
60,0,762888,1000821,1672649,21549,268268.3,102954.3,5,83081.57,3662790,90292.83,86141,5268.268,828.775,762888,156733.5,277637.8
60,1,1349,1776.866,2.158,,,,,,,,,,,1349,60.836,0.167
60,2,595,1186.528,6.162,8,60.012,2.217,,,,,8,0.310,0.000,595,38.500,0.002
60,3,2133,3025.712,97.258,,,,,,,,,,,2133,86.671,0.008
60,4,5542,6856.309,403.537,,,,,,,,,,,5542,301.433,11.460
50,0,845391,1108668,3626734,11605,180860.0,19611.10,6,104127.5,12611001,165390.5,169810,18658.69,17707.60,845391,240869.6,1439938
50,1,2023,2700.015,2.178,,,,,,,,,,,2023,72.025,0.000
50,2,406,965.434,2.277,,,,,,,,,,,406,35.964,0.001
50,3,2658,4076.719,6.946,,,,,,,,,,,2658,120.009,0.000
50,4,1106,1499.570,2.045,,,,,,,,,,,1106,41.047,0.000
40,0,984729,1376325,5457229,12547,163788.6,6768.502,7,107873.5,39312645,260409.9,318680,56288.94,218357.1,984729,350604.9,3214296
40,1,2209,3007.428,18.897,,,,,,,,,,,2209,82.884,0.003
40,2,405,826.216,0.524,,,,,,,,,,,405,32.688,0.002
40,3,227,267.243,0.528,,,,,,,,,,,227,7.736,0.000
40,4,2955,4105.633,174.183,,,,,,,,,,,2955,119.886,5.828
30,0,1163307,1954084,7195779,32565,344240.1,27223.07,6,90465.26,56061912,378813.0,503921,152966.7,21394953,1163307,487341.8,6529096
30,1,3587,5186.878,7.247,,,,,,,,,,,3587,126.929,0.000
30,2,1003,1633.846,3.241,,,,,,,,,,,1003,70.107,0.281
30,3,4122,6380.245,9.673,8,59.547,1.296,,,,,8,0.406,0.000,4122,180.222,0.001
30,4,2492,3407.029,9.274,,,,,,,,,,,2492,102.864,0.270
20,0,1227804,1948067,7106191,2653,43786.72,615.574,4,44506.57,50181171,464568.2,588684,245199.5,21060356,1227804,581519.5,1010935
20,1,2372,3194.258,8.564,,,,,,,,,,,2372,87.792,0.001
20,2,682,1180.874,1.755,,,,,,,,,,,682,43.293,0.002
20,3,2618,3889.954,7.048,,,,,,,,,,,2618,110.641,0.000
20,4,7296,8923.857,244.807,,,,,,,,,,,7296,378.288,5.596
10,0,1376022,2227205,813349.1,4830,75011.82,2464.712,1,20438.92,0.000,569021.5,748042,234854.3,4611235,1376022,701014.4,3614811
10,1,1702,2163.362,0.865,,,,,,,,,,,1702,62.600,0.000
10,2,483,1048.111,3.381,,,,,,,,,,,483,55.872,0.464
10,3,7794,10033.55,854.685,,,,,,,,,,,7794,527.247,40.301
10,4,3512,5162.086,8.426,,,,,,,,,,,3512,122.586,0.000
5,0,1452564,2366573,2180943,6417,104270.2,4854.829,1,10165.79,0.000,615682.7,813296,220577.4,649943.1,1452564,755025.2,4255285
5,1,1971,2845.487,2.605,8,60.887,3.263,,,,,8,0.307,0.000,1971,75.985,0.000
5,2,666,1434.995,5.458,,,,,,,,,,,666,80.918,0.760
5,3,2345,2994.101,8.210,,,,,,,,,,,2345,89.712,0.001
5,4,282,397.393,1.356,,,,,,,,,,,282,10.809,0.000
