RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.53,0.83,0:06.36,112,678821,1632,620
90,5.72,0.75,0:06.47,1537,687861,80258,13840
80,5.65,0.90,0:06.56,1963,694665,151515,15806
70,5.72,1.00,0:06.72,8899,705334,198036,29852
60,5.67,1.48,0:07.16,47975,730611,294014,68035
50,5.83,1.80,0:07.65,77791,810828,364660,148484
40,5.96,2.27,0:08.24,124910,880496,478314,295441
30,6.05,2.81,0:08.88,182147,991474,570685,445147
20,6.09,3.12,0:09.23,199930,1060496,665732,606327
10,6.35,3.63,0:10.02,267294,1108967,722904,768535
5,7.12,3.58,0:10.75,240001,1201614,769076,850861
