RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,526183,70
90,803120,44593
80,803480,45548
70,802030,43023
60,1005607,88697
50,1055861,100120
40,1054976,105264
30,1054681,110203
20,1054006,100394
