RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.04,0.12,0:04.16,0,100590,0,0
90,4.26,0.80,0:05.07,40939,111582,310905,221380
80,4.22,1.02,0:05.25,49086,122760,372851,257991
70,4.25,1.11,0:05.38,57258,124106,407693,314209
60,4.26,1.13,0:05.40,63719,119689,400563,357713
50,4.38,1.58,0:05.97,74927,196182,601386,396892
40,4.52,6.79,0:11.37,166052,1130808,3130640,2221002
30,4.82,8.84,0:13.74,249394,1133351,3548198,3956818
20,5.00,8.43,0:13.51,246238,1137338,3555275,3998973
