RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.14,0.13,0:04.27,0,100590,0,0
90,4.44,0.79,0:05.24,38148,104625,207037,166518
80,4.47,0.99,0:05.47,50517,103220,275554,216864
70,4.66,1.17,0:05.85,73378,123422,358710,320132
60,4.62,1.39,0:06.02,71827,111979,369697,351319
50,4.85,1.83,0:06.71,87917,158434,473401,424833
40,6.51,7.08,0:15.06,162166,909571,2438263,2304270
30,6.58,9.83,0:18.40,223554,1152979,2952583,3287014
20,6.71,9.92,0:18.72,224125,1158624,2976069,3354805
10,6.84,10.28,0:19.29,223173,1190698,2950362,3629148
5,6.63,10.27,0:19.25,295811,1593393,2234668,3730295
