RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,100773,0
90,152316,340
80,162042,1543
70,167154,708
60,169275,186
50,197678,1252
40,1085188,56037
30,1371717,1824
20,1382783,885
10,1383826,348
5,1411224,4235
