RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.46,0.09,0:03.56,0,100590,0,0
90,3.51,0.56,0:04.08,42832,109101,63802,46428
80,3.45,0.71,0:04.16,50352,114691,72413,54977
70,3.49,0.79,0:04.28,59368,124498,80129,64737
60,3.49,0.77,0:04.27,64243,107951,72868,69488
50,3.57,0.90,0:04.48,73202,165827,107400,85512
40,3.88,3.07,0:07.19,156858,1130296,656702,462720
30,3.34,4.49,0:08.25,245616,1136855,709144,773550
20,3.56,4.28,0:08.25,244203,1138292,709252,778477
10,3.77,4.49,0:08.72,257873,1253465,743938,858851
5,4.13,5.26,0:10.05,321047,1573383,816044,1229546
