RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,1446231,0
90,1452434,2154
80,1452412,2169
70,1675034,20197
60,2304890,145302
50,3137396,867246
40,7910230,1853235
30,9531940,3030982
20,10940096,3136567
10,12840980,3117748
5,13303846,3122451
