RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.18,1.53,0:05.72,0,1445976,0,0
90,4.10,1.73,0:05.85,2140,1449730,113171,5221
80,4.09,1.96,0:06.06,2152,1449715,225141,6831
70,4.31,2.67,0:07.05,20176,1651984,492338,150448
60,4.52,5.19,0:09.98,145280,2122226,1005644,526339
50,4.60,12.26,0:17.29,867235,2180391,1528258,1224079
40,5.19,30.37,0:38.22,1853225,5458473,4612598,4448247
30,5.05,43.36,0:51.27,3030969,5781872,5050756,7173429
20,5.35,46.75,0:55.61,3136556,6777352,5290468,8815453
10,5.26,49.83,1:00.00,3117731,8073480,5324156,10432844
5,5.45,50.31,1:01.40,3122440,8495878,5332611,10927142
