RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.76,0.10,0:02.11,0,100521,0,0
90,3.88,0.66,0:02.48,41247,107470,59147,45476
80,3.93,0.68,0:02.54,47579,111686,69795,52798
70,3.86,0.88,0:02.64,59126,124401,79973,64733
60,3.91,0.86,0:02.64,61881,107342,71413,68900
50,4.11,1.02,0:02.82,70548,191695,119665,90209
40,4.75,3.15,0:04.27,133760,1024631,584399,324153
30,5.13,4.87,0:05.57,245659,1097606,686611,753332
20,4.46,5.21,0:05.50,255166,1125912,708269,795602
10,4.66,5.24,0:05.67,264387,1118111,709537,797894
5,5.38,5.23,0:06.08,280036,1128409,724403,800985
