RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,6.42,0.24,0:06.66,3,133953,90,62
90,6.62,0.32,0:06.94,5,133952,13516,155
80,6.57,0.29,0:06.87,6,133951,27647,260
70,6.92,0.64,0:07.57,46707,139605,68734,47681
60,6.59,0.86,0:07.46,60961,155993,93734,77964
50,7.03,1.08,0:08.12,87935,186271,118071,109953
40,6.79,1.18,0:07.99,102530,194264,133917,123485
30,7.58,2.61,0:10.22,169797,916983,535431,549143
20,7.83,3.02,0:10.89,213536,958244,569871,620678
10,8.10,2.82,0:10.96,215358,958499,570990,621746
5,8.18,3.46,0:11.69,238222,1127034,605614,784591
