RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
30,0,1188174,3822851,31546331,457187,3058562,637201.9,12,175021.5,85015023,
30,1,2052,2583.078,3.340,,,,,,,
30,2,1401,1771.198,2.743,8,56.282,2.276,,,,
30,3,534,634.956,1.844,,,,,,,
30,4,4191,5576.419,115.149,,,,,,,
