RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.28,1.08,0:03.37,16803,769762,303611,22169
90,2.31,1.24,0:03.55,7,786562,399464,283214
80,2.25,1.35,0:03.61,7,786558,436535,283751
70,2.42,1.24,0:03.66,12,786562,494552,284564
60,2.40,1.74,0:04.15,21,995251,564402,493447
50,2.45,1.80,0:04.25,67,1048659,565443,554315
40,2.45,1.77,0:04.23,17,1048713,565594,563035
30,2.51,1.70,0:04.22,17,1048713,565594,563029
20,2.60,1.64,0:04.24,18,1048708,565590,563028
10,2.64,1.62,0:04.26,18,1048712,565590,563021
5,2.73,1.52,0:04.26,18,1048712,565592,563024
