RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,6.67,1.25,0:07.93,75,678871,1576,532
90,6.85,1.15,0:08.01,1536,687861,70665,12572
80,6.91,1.23,0:08.15,2094,697773,150250,13908
70,6.97,1.39,0:08.37,7032,707815,197604,25982
60,7.00,1.83,0:08.84,50892,728152,290676,66593
50,7.04,2.33,0:09.38,77467,822033,374398,127174
40,7.32,2.74,0:10.07,124413,911435,482546,276548
30,7.50,3.37,0:10.88,185456,989423,548048,443721
20,7.48,3.77,0:11.26,230118,1034989,635837,568252
10,7.67,4.28,0:11.97,292558,1080645,681089,731555
5,8.78,4.34,0:13.14,314498,1131951,727942,835995
