RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,6.85,1.12,0:07.97,29,678850,0,505
90,6.83,1.17,0:08.00,30,689367,0,12572
80,6.88,1.24,0:08.12,349,698444,0,13770
70,6.83,1.46,0:08.30,858,715220,0,24144
60,7.03,1.68,0:08.72,15361,763776,0,70743
50,7.22,1.93,0:09.17,5809,901124,0,120069
40,7.14,2.26,0:09.42,7291,1028692,0,271410
30,7.29,2.68,0:09.99,15814,1153467,0,441412
20,7.43,2.71,0:10.15,2496,1264651,0,540484
10,7.81,2.83,0:10.66,1465,1374575,0,686403
5,8.45,3.05,0:11.52,3981,1441127,0,756875
