RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.14,1.77,0:05.92,0,1445976,0,0
90,4.22,1.92,0:06.14,3225,1448642,192280,6217
80,4.19,2.07,0:06.27,3225,1458121,291724,8059
70,4.37,2.82,0:07.20,51436,1599970,634344,141000
60,4.47,4.07,0:08.55,94478,1934931,1071258,408294
50,4.63,6.43,0:11.07,232843,2337772,1612515,1225510
40,4.84,14.11,0:18.98,228633,4752746,4602438,4466027
30,5.10,17.46,0:22.58,342887,4879207,5077547,7196876
20,5.01,18.86,0:23.89,273064,4959674,5296193,8800967
10,4.62,18.98,0:23.62,28936,5151127,5323220,10377552
5,4.71,19.08,0:23.81,9440,5226264,5330119,10781220
