RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.29,1.53,0:03.82,19612,1029180,556501,28753
90,2.17,1.93,0:04.11,643,1048150,565384,549296
80,2.28,1.83,0:04.12,14,1048784,565623,563045
70,2.18,1.96,0:04.15,14,1048783,565617,563043
60,2.28,1.83,0:04.12,14,1048792,565619,563018
50,2.31,1.84,0:04.16,17,1048791,565627,563074
40,2.42,1.76,0:04.18,14,1048797,565629,563062
30,2.51,1.65,0:04.16,16,1048797,565623,563049
20,2.50,1.68,0:04.18,14,1048799,565622,563042
10,2.50,1.69,0:04.20,14,1048801,565612,563043
5,2.50,1.69,0:04.20,14,1048806,565625,563053
